"parameter","mean","sd","2.5%","10%","50%","90%","97.5%","Rhat","n.eff"
"det.tra.t[6,3]",0.3,0.03,0.24,0.26,0.3,0.35,0.37,1,6158
"det.tra.t[7,3]",0.29,0.04,0.22,0.24,0.29,0.35,0.38,1,4864
"det.tra.t[8,3]",0.25,0.05,0.16,0.19,0.25,0.32,0.37,1,4473
"det.tra.t[10,3]",0.38,0.06,0.27,0.3,0.38,0.46,0.51,1,14370
"det.tra.t[11,3]",0.45,0.06,0.34,0.38,0.45,0.53,0.57,1,14603
"det.tra.t[12,3]",0.4,0.07,0.27,0.31,0.39,0.5,0.55,1,13388
"det.tra.t[13,3]",0.41,0.07,0.29,0.33,0.4,0.49,0.54,1,14269
"det.tra.t[14,3]",0.37,0.06,0.26,0.29,0.36,0.44,0.48,1,14226
"det.tra.t[1,4]",0.26,0.05,0.17,0.2,0.26,0.33,0.36,1,4118
"det.tra.t[2,4]",0.24,0.05,0.15,0.18,0.24,0.31,0.34,1,5075
"det.tra.t[3,4]",0.31,0.04,0.22,0.25,0.31,0.37,0.4,1,7493
"det.tra.t[4,4]",0.33,0.04,0.26,0.28,0.33,0.38,0.41,1,9611
"det.tra.t[5,4]",0.32,0.03,0.25,0.27,0.31,0.36,0.39,1,7525
"det.tra.t[6,4]",0.37,0.03,0.31,0.33,0.37,0.42,0.44,1,8794
"det.tra.t[7,4]",0.28,0.03,0.22,0.24,0.28,0.32,0.35,1,7934
"det.tra.t[8,4]",0.34,0.03,0.27,0.3,0.34,0.38,0.4,1,7511
"det.tra.t[10,4]",0.44,0.07,0.32,0.36,0.44,0.54,0.59,1,7452
"det.tra.t[11,4]",0.41,0.07,0.28,0.32,0.4,0.51,0.57,1,10156
"det.tra.t[12,4]",0.42,0.07,0.3,0.33,0.41,0.51,0.56,1,9097
"det.tra.t[13,4]",0.38,0.06,0.28,0.31,0.38,0.46,0.51,1,10044
"det.tra.t[14,4]",0.32,0.05,0.23,0.26,0.32,0.39,0.44,1,13224
"det.cam.v[10,1]",0.17,0.02,0.13,0.15,0.17,0.2,0.22,1,3862
"det.cam.v[11,1]",0.19,0.03,0.14,0.16,0.19,0.23,0.26,1,2634
"det.cam.v[12,1]",0.17,0.02,0.13,0.14,0.17,0.2,0.22,1,3542
"det.cam.v[13,1]",0.15,0.02,0.11,0.13,0.15,0.18,0.19,1,5743
"det.cam.v[14,1]",0.15,0.02,0.11,0.13,0.15,0.17,0.19,1,4015
"det.cam.v[10,2]",0.27,0.03,0.22,0.23,0.27,0.31,0.34,1,10607
"det.cam.v[11,2]",0.24,0.03,0.19,0.21,0.24,0.27,0.29,1,11435
"det.cam.v[12,2]",0.27,0.03,0.22,0.24,0.27,0.31,0.33,1,9710
"det.cam.v[13,2]",0.22,0.02,0.17,0.19,0.21,0.25,0.26,1,9279
"det.cam.v[14,2]",0.26,0.02,0.22,0.23,0.26,0.28,0.3,1,10299
"det.cam.v[10,3]",0.21,0.03,0.16,0.17,0.21,0.24,0.27,1,9379
"det.cam.v[11,3]",0.22,0.03,0.17,0.19,0.22,0.26,0.28,1,8166
"det.cam.v[12,3]",0.18,0.03,0.13,0.14,0.18,0.22,0.24,1,6793
"det.cam.v[13,3]",0.19,0.03,0.13,0.15,0.19,0.22,0.24,1,7762
"det.cam.v[14,3]",0.19,0.03,0.14,0.16,0.19,0.22,0.24,1,8026
"det.cam.v[10,4]",0.19,0.03,0.13,0.15,0.18,0.23,0.25,1,5284
"det.cam.v[11,4]",0.19,0.03,0.14,0.15,0.19,0.24,0.27,1,5568
"det.cam.v[12,4]",0.17,0.03,0.13,0.14,0.17,0.21,0.23,1,5451
"det.cam.v[13,4]",0.16,0.03,0.11,0.13,0.16,0.2,0.22,1,5525
"det.cam.v[14,4]",0.15,0.03,0.1,0.12,0.15,0.19,0.21,1,5072
"det.cam.t[10,1]",0.61,0.05,0.51,0.55,0.61,0.67,0.71,1,3439
"det.cam.t[11,1]",0.65,0.06,0.54,0.57,0.65,0.74,0.78,1,2529
"det.cam.t[12,1]",0.61,0.05,0.51,0.54,0.61,0.68,0.72,1,3460
"det.cam.t[13,1]",0.56,0.05,0.45,0.49,0.56,0.62,0.66,1,5812
"det.cam.t[14,1]",0.55,0.05,0.45,0.49,0.56,0.62,0.65,1,4062
"det.cam.t[10,2]",0.79,0.04,0.71,0.73,0.79,0.84,0.87,1,10311
"det.cam.t[11,2]",0.75,0.04,0.66,0.69,0.75,0.8,0.82,1,11430
"det.cam.t[12,2]",0.79,0.04,0.72,0.74,0.79,0.84,0.87,1,9492
"det.cam.t[13,2]",0.7,0.04,0.61,0.64,0.7,0.75,0.78,1,9537
"det.cam.t[14,2]",0.77,0.03,0.71,0.73,0.77,0.81,0.83,1,10273
"det.cam.t[10,3]",0.68,0.06,0.57,0.61,0.68,0.75,0.79,1,9325
"det.cam.t[11,3]",0.71,0.05,0.62,0.65,0.71,0.78,0.81,1,7874
"det.cam.t[12,3]",0.63,0.07,0.49,0.54,0.63,0.71,0.74,1,6856
"det.cam.t[13,3]",0.64,0.06,0.51,0.56,0.64,0.71,0.74,1,7800
"det.cam.t[14,3]",0.65,0.06,0.53,0.57,0.65,0.72,0.75,1,8047
"det.cam.t[10,4]",0.64,0.07,0.51,0.55,0.63,0.72,0.77,1,5164
"det.cam.t[11,4]",0.65,0.07,0.52,0.56,0.65,0.75,0.8,1,5262
"det.cam.t[12,4]",0.61,0.06,0.49,0.53,0.61,0.69,0.74,1,5337
"det.cam.t[13,4]",0.58,0.07,0.45,0.5,0.59,0.66,0.71,1,5600
"det.cam.t[14,4]",0.56,0.07,0.43,0.47,0.57,0.65,0.69,1,5199
"p.occ[1,1]",0.39,0.07,0.29,0.32,0.39,0.47,0.54,1.03,909
"p.occ[2,1]",0.36,0.04,0.28,0.31,0.35,0.41,0.45,1.01,890
"p.occ[3,1]",0.35,0.03,0.28,0.3,0.34,0.39,0.41,1,901
"p.occ[4,1]",0.31,0.03,0.26,0.28,0.31,0.35,0.37,1,1111
"p.occ[5,1]",0.29,0.03,0.24,0.25,0.29,0.32,0.35,1,1304
"p.occ[6,1]",0.31,0.03,0.26,0.28,0.31,0.34,0.36,1,1289
"p.occ[7,1]",0.3,0.03,0.25,0.27,0.3,0.33,0.35,1,1093
"p.occ[8,1]",0.29,0.03,0.24,0.25,0.29,0.32,0.34,1,1271
